TC5 (°F) - Min,76.133333,76.300000,76.866667,78.166667,78.600000,78.666667,79.300000,79.733333,79.633333,83.700000,84.133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC6 (°F) - Mean,88.076470,75.233333,75.766667,90.639324,77.266667,77.433333,90.961027,78.633333,78.200000,83.418301,84.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC6 (°F) - Standard Deviation,10.373657,NaN,NaN,10.085718,NaN,NaN,9.652342,NaN,NaN,0.328587,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC6 (°F) - Variance,107.612764,NaN,NaN,101.721709,NaN,NaN,93.167701,NaN,NaN,0.107969,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC6 (°F) - Max,115.533333,75.233333,75.766667,116.366667,77.266667,77.433333,116.100000,78.633333,78.200000,84.033333,84.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC6 (°F) - Min,75.233333,75.233333,75.766667,76.866667,77.266667,77.433333,78.366667,78.633333,78.200000,82.933333,84.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Harmonic Distortion (%V) - Max,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Harmonic Distortion (%V) - Min,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency (Hz) - Mean ,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency (Hz) - Standard Deviation,0.000000,NaN,NaN,0.000000,NaN,NaN,0.000000,NaN,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
