System Date,System Time,Elapsed Time (sec),,Software Elapsed Time (sec),Program Status,TC Tree Average,TC Down,RTD IN,RTD Out,RTD Ambient,Totalized Flow (Gallons),Flow Rate (GPM),Pressure - HI1,Pressure - HI2,Pressure - LOW,Pressure - PIN,Mass Flow Rate(lb/min),Density(lb/US Gal),Flow Meter Inlet Temperature(°F),Draw Weight(lbs),Total Weight Inventory(lbs),Total Gallons Inventory(US Gallon),Drive Gain (%),Raw Tube Frequency (Hz),Hot Flow Rate-Calculated(US GPM),Hot Gallons-Calculated(US Gallon),Hot Flow Rate-Laurel(US GPM),Hot Gallons-Laurel(US Gallon),T1,T2,T3,T4,T5,T6,UPPER ELEMENT,LOWER ELEMENT,COMPRESSOR,FAN,DLB,T2-13,T3-18,Absolute Pressure [inHgA],Gauge/Diff. Pressure [inHgG],BarometricPressure [inHgA],Temperature [°F],Uncorrected [CFH],Corrected [SCFH],Gas Rate (BTU/hr),Heating Value (BTU/ft³),Energy (BTU),Totalizer [Sft3],Gas Selected,Thermal Efficiency (%)
9/25/2020,30:42.3,6414.65,95,12435.57,Heating Tanks.... ,115.183,58,59,123.2,69.3,0.004,0,0.002,0.002,0.002,0.002,0,8.343,59.928,0.032,385.975,46.262,6.63,151.615,0,0.004,0,0,125,122,117,110.3,108.8,108,0,1,0,0,0,210.949,68.593,30.19,0.77,29.421,71.33,38.716,38.13,40589.0037,1064.49,44303.00931,41.619,NatG-1,
9/25/2020,30:45.3,6417.65,98,12438.57,Heating Tanks.... ,115.4,58.1,59,123.1,69.3,0.004,0,0.002,0.002,0.002,0.002,0,8.343,59.937,0.032,385.975,46.262,6.63,151.615,0,0.004,0,0,125,122.1,117.2,110.8,109,108.3,0,1,0,0,0,211.718,68.645,30.18,0.76,29.42,71.33,38.673,38.09,40546.4241,1064.49,44336.0085,41.65,NatG-1,
9/25/2020,30:48.3,6420.65,101,12441.58,Heating Tanks.... ,115.4,58.1,59,123,69.3,0.004,0,0.002,0.002,0.002,0.002,0,8.342,59.995,0.032,385.975,46.262,6.642,151.614,0,0.004,0,0,125,122.1,117.1,111,109,108.2,0,1,0,0,0,212.607,68.627,30.19,0.77,29.421,71.32,38.729,38.146,40606.03554,1064.49,44370.07218,41.682,NatG-1,
9/25/2020,30:51.3,6423.65,104,12444.57,Heating Tanks.... ,115.483,58.1,59,122.9,69.3,0.004,0,0.002,0.002,0.002,0.002,0,8.342,60.022,0.032,385.975,46.262,6.636,151.614,0,0.004,0,0,125,122.1,117.5,111,109,108.3,0,1,0,0,0,213.44,68.603,30.19,0.77,29.42,71.32,38.679,38.097,40553.87553,1064.49,44404.13586,41.714,NatG-1,
9/25/2020,30:54.3,6426.65,107,12447.57,Heating Tanks.... ,115.617,58.1,59.1,122.8,69.3,0.004,0,0.002,0.002,0.002,0.002,0,8.342,60.054,0.032,385.975,46.262,6.63,151.614,0,0.004,0,0,125,122.1,118.2,110.9,109.1,108.4,0,1,0,0,0,214.051,68.569,30.19,0.77,29.421,71.32,38.66,38.08,40535.7792,1064.49,44437.13505,41.745,NatG-1,
9/25/2020,30:57.3,6429.65,110,12450.58,Heating Tanks.... ,115.6,58.2,59.1,122.8,69.3,0.004,0,0.003,0.002,0.002,0.002,0,8.342,60.105,0.032,385.975,46.262,6.63,151.614,0,0.004,0,0,125,122.1,118,110.9,109.2,108.4,0,1,0,0,0,214.963,68.562,30.18,0.76,29.42,71.32,38.603,38.017,40468.71633,1064.49,44471.19873,41.777,NatG-1,
9/25/2020,31:00.3,6432.65,113,12453.59,Heating Tanks.... ,115.617,58.2,59.1,122.7,69.3,0.004,0,0.002,0.002,0.002,0.002,0,8.342,60.088,0.032,385.975,46.262,6.637,151.613,0,0.004,0,0,125,122.1,117.7,111.1,109.3,108.5,0,1,0,0,0,215.932,68.494,30.18,0.76,29.42,71.31,38.603,38.024,40476.16776,1064.49,44505.26241,41.809,NatG-1,
9/25/2020,31:03.3,6435.65,116,12456.56,Heating Tanks.... ,115.633,58.2,59.1,122.6,69.3,0.004,0,0.002,0.002,0.002,0.002,0,8.342,60.122,0.032,385.975,46.262,6.632,151.613,0,0.004,0,0,125,122.1,117.3,111.5,109.3,108.6,0,1,0,0,0,216.866,68.551,30.18,0.76,29.42,71.31,38.574,37.991,40441.03959,1064.49,44538.2616,41.84,NatG-1,
9/25/2020,31:06.3,6438.65,119,12459.57,Heating Tanks.... ,115.817,58.3,59.1,122.5,69.2,0.004,0,0.002,0.002,0.002,0.002,0,8.342,60.11,0.032,385.975,46.262,6.636,151.613,0,0.004,0,0,125.1,122.1,117.8,111.9,109.3,108.7,0,1,0,0,0,217.548,68.557,30.19,0.77,29.42,71.31,38.574,37.988,40437.84612,1064.49,44572.32528,41.872,NatG-1,
9/25/2020,31:09.3,6441.65,122,12462.59,Heating Tanks.... ,115.967,58.2,59.1,122.4,69.2,0.004,0,0.002,0.002,0.002,0.002,0,8.342,60.096,0.032,385.975,46.262,6.638,151.613,0,0.004,0,0,125,122.1,118.3,112.1,109.4,108.9,0,1,0,0,0,218.367,68.476,30.18,0.76,29.42,71.31,38.567,37.984,40433.58816,1064.49,44605.32447,41.903,NatG-1,
