TC Down (°F) - Min,86.066667,86.000000,80.300000,56.733333,57.933333,56.466667,58.400000,56.333333,57.500000,55.533333,57.633333,57.600000,57.733333,58.400000,58.400000,56.900000,58.200000,58.200000,57.666667,57.866667,58.000000,58.266667,58.366667,57.000000,55.433333,56.000000,58.000000,54.133333,57.633333,53.633333,54.866667,55.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1 (°F) - Mean,120.200000,120.500000,121.000000,116.843466,109.166667,120.337895,119.900000,116.295331,112.100000,117.967434,114.700000,114.433333,120.514230,119.200000,119.100000,121.941363,121.533333,121.500000,120.693674,120.533333,120.295714,120.000000,120.000000,115.993086,116.000000,115.550058,115.200000,121.028144,120.500000,118.211166,115.000000,114.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1 (°F) - Standard Deviation,NaN,NaN,NaN,3.906307,NaN,0.234551,NaN,2.034335,NaN,1.486206,NaN,NaN,0.605928,NaN,NaN,0.128308,NaN,NaN,0.019188,NaN,0.128687,NaN,NaN,0.018256,NaN,0.102906,NaN,0.156089,NaN,1.560272,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1 (°F) - Variance,NaN,NaN,NaN,15.259235,NaN,0.055014,NaN,4.138518,NaN,2.208809,NaN,NaN,0.367149,NaN,NaN,0.016463,NaN,NaN,0.000368,NaN,0.016560,NaN,NaN,0.000333,NaN,0.010590,NaN,0.024364,NaN,2.434449,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1 (°F) - Max,120.200000,120.500000,121.000000,121.000000,109.166667,120.500000,119.900000,118.500000,112.100000,119.500000,114.700000,114.433333,121.100000,119.200000,119.100000,122.100000,121.533333,121.500000,120.700000,120.533333,120.400000,120.000000,120.000000,116.000000,116.000000,115.700000,115.200000,121.200000,120.500000,120.100000,115.000000,114.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1 (°F) - Min,120.200000,120.500000,121.000000,108.866667,109.166667,119.800000,119.900000,112.100000,112.100000,114.800000,114.700000,114.433333,119.200000,119.200000,119.100000,121.600000,121.533333,121.500000,120.600000,120.533333,120.000000,120.000000,120.000000,115.933333,116.000000,115.200000,115.200000,120.500000,120.500000,115.233333,115.000000,114.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2 (°F) - Mean,119.400000,119.900000,121.000000,111.226682,100.200000,119.701754,119.300000,111.706096,105.133333,114.025661,109.000000,109.000000,118.731447,114.366667,114.300000,120.563504,120.333333,120.233333,119.428954,118.133333,118.309048,117.700000,117.800000,115.322469,115.133333,113.580372,112.233333,120.104790,117.666667,112.727197,106.600000,106.533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2 (°F) - Standard Deviation,NaN,NaN,NaN,6.386137,NaN,0.180095,NaN,3.800472,NaN,3.966047,NaN,NaN,1.709817,NaN,NaN,0.049653,NaN,NaN,0.087150,NaN,0.234643,NaN,NaN,0.444868,NaN,0.781680,NaN,0.468746,NaN,3.539258,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2 (°F) - Variance,NaN,NaN,NaN,40.782741,NaN,0.032434,NaN,14.443586,NaN,15.729530,NaN,NaN,2.923474,NaN,NaN,0.002465,NaN,NaN,0.007595,NaN,0.055057,NaN,NaN,0.197908,NaN,0.611024,NaN,0.219723,NaN,12.526347,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2 (°F) - Max,119.400000,119.900000,121.000000,121.000000,100.200000,120.000000,119.300000,118.133333,105.133333,119.500000,109.000000,109.000000,120.700000,114.366667,114.300000,120.633333,120.333333,120.233333,119.500000,118.133333,118.700000,117.700000,117.800000,115.700000,115.133333,114.433333,112.233333,120.466667,117.666667,118.400000,106.600000,106.533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
